Label 1 : ND ; S1
Label 2 : D ; S2
Label 3 : D ; S8
Label 4 : D ; S8
Label 5 : ND ; S1
Label 6 : ND ; S0
Label 7 : ND ; S0
Label 8 : ND ; S1
Label 9 : ND ; S1
Label 10 : ND ; S1
Label 11 : ND ; S1
Label 12 : ND ; S1
Label 13 : ND ; S1
Label 14 : ND ; S1
Label 15 : ND ; S1
Label 16 : ND ; S0
Label 17 : ND ; S1
Label 18 : ND ; S1
Label 19 : ND ; S1
Label 20 : ND ; S1
Label 21 : ND ; S1
Label 22 : D ; S2
Label 23 : ND ; S0
Label 24 : ND ; S1
Label 25 : ND ; S1
Label 26 : ND ; S1
Label 27 : ND ; S1
Label 28 : ND ; S1
Label 29 : ND ; S1
Label 30 : ND ; S1
Label 31 : ND ; S0
Label 32 : ND ; S1
Label 33 : ND ; S1
Label 34 : ND ; S0
Label 35 : ND ; S1
Label 36 : ND ; S0
Label 37 : ND ; S0
Label 38 : ND ; S1
Label 39 : ND ; S0
Label 40 : ND ; S1
Label 41 : ND ; S0
Label 42 : ND ; S0
Label 43 : ND ; S1
Label 44 : ND ; S1
Label 45 : ND ; S0
Label 46 : ND ; S0
Label 47 : ND ; S0
Label 48 : ND ; S0
Label 49 : ND ; S1
Label 50 : ND ; S1
Label 51 : ND ; S1
Label 52 : ND ; S0
Label 53 : ND ; S1
Label 54 : ND ; S0
Label 55 : ND ; S0
Label 56 : ND ; S1
Label 57 : ND ; S1
Label 58 : ND ; S1
Label 59 : ND ; S0
Label 60 : D ; S8
Label 61 : ND ; S0
Label 62 : ND ; S0
Label 63 : ND ; S1
Label 64 : ND ; S1
Label 65 : ND ; S1
Label 66 : ND ; S1
Label 67 : ND ; S1
Label 68 : D ; S8
Label 69 : D ; S2
Label 70 : ND ; S1
Label 71 : ND ; S1
Label 72 : ND ; S1
Label 73 : ND ; S1
Label 74 : ND ; S1
Label 75 : ND ; S1
Label 76 : ND ; S1
Label 77 : ND ; S1
Label 78 : D ; S2
Label 79 : ND ; S1
Label 80 : ND ; S1
Label 81 : ND ; S1
Label 82 : ND ; S1
Label 83 : ND ; S1
Label 84 : D ; S4
Label 85 : ND ; S1
Label 86 : ND ; S1
Label 87 : ND ; S1
Label 88 : ND ; S1
Label 89 : D ; S2
Label 90 : D ; S8
Label 91 : ND ; S1
Label 92 : ND ; S1
Label 93 : ND ; S1
Label 94 : ND ; S0
Label 95 : D ; S4
Label 96 : ND ; S1
Label 97 : ND ; S0
Label 98 : ND ; S1
Label 99 : ND ; S1
Label 100 : ND ; S1
Label 101 : ND ; S0
Label 102 : ND ; S1
Label 103 : ND ; S1
Label 104 : ND ; S1
Label 105 : ND ; S0
Label 106 : ND ; S0
Label 107 : ND ; S0
Label 108 : ND ; S1
Label 109 : ND ; S0
Label 110 : ND ; S0
Label 111 : ND ; S1
Label 112 : ND ; S1
Label 113 : ND ; S1
Label 114 : ND ; S1
Label 115 : ND ; S1
Label 116 : ND ; S1
Label 117 : D ; S4
Label 118 : ND ; S1
Label 119 : ND ; S1
Label 120 : D ; S4
Label 121 : ND ; S1
Label 122 : ND ; S1
Label 123 : ND ; S1
Label 124 : ND ; S1
Label 125 : ND ; S1
Label 126 : ND ; S0
Label 127 : ND ; S1
Label 128 : ND ; S1
